group,angle,abundance,biomass
Mysticeti,2,2,9975.092439
Mysticeti,11,1,14081.76482
Mysticeti,18,1,6255.160267
Mysticeti,26,1,3719.932172
Mysticeti,30,1,811.1605266
Mysticeti,43,1,3719.932172
Mysticeti,45,2,7439.864344
Mysticeti,47,1,3719.932172
Mysticeti,53,1,3719.932172
Mysticeti,54,1,14081.76482
Mysticeti,56,1,6255.160267
Mysticeti,58,1,14081.76482
Mysticeti,62,1,14081.76482
Mysticeti,71,1,14081.76482
Mysticeti,82,1,3719.932172
Mysticeti,85,1,3719.932172
Mysticeti,87,1,3719.932172
Mysticeti,89,2,28163.52965
Mysticeti,93,1,3719.932172
Mysticeti,95,1,14081.76482
Mysticeti,101,1,3719.932172
Mysticeti,103,1,811.1605266
Mysticeti,111,1,14081.76482
Mysticeti,117,1,3719.932172
Mysticeti,122,1,3719.932172
Mysticeti,138,2,17801.69699
Mysticeti,139,1,3719.932172
Mysticeti,141,4,14879.72869
Mysticeti,143,1,3719.932172
Mysticeti,146,1,3719.932172
Mysticeti,162,1,14081.76482
Mysticeti,164,1,3719.932172
Mysticeti,172,1,3719.932172
Mysticeti,174,1,14081.76482
Mysticeti,179,1,3719.932172
Mysticeti,180,1,3719.932172
Mysticeti,185,1,811.1605266
Mysticeti,186,1,3719.932172
Mysticeti,192,2,7439.864344
Mysticeti,197,1,6255.160267
Mysticeti,198,1,3719.932172
Mysticeti,200,1,3719.932172
Mysticeti,203,1,3719.932172
Mysticeti,207,1,3719.932172
Mysticeti,208,1,3719.932172
Mysticeti,211,1,14081.76482
Mysticeti,212,2,5572.110602
Mysticeti,213,1,14081.76482
Mysticeti,214,3,31883.46182
Mysticeti,215,3,34418.68991
Mysticeti,217,1,3719.932172
Mysticeti,218,1,1852.17843
Mysticeti,220,1,14081.76482
Mysticeti,221,2,17801.69699
Mysticeti,223,1,3719.932172
Mysticeti,224,2,5572.110602
Mysticeti,229,2,17801.69699
Mysticeti,230,1,1852.17843
Mysticeti,233,1,3719.932172
Mysticeti,238,2,28163.52965
Mysticeti,240,3,17786.12168
Mysticeti,241,3,11159.79652
Mysticeti,242,1,1852.17843
Mysticeti,243,1,3719.932172
Mysticeti,244,1,1852.17843
Mysticeti,245,1,1852.17843
Mysticeti,246,1,3719.932172
Mysticeti,247,1,3719.932172
Mysticeti,250,1,14081.76482
Mysticeti,251,2,5572.110602
Mysticeti,252,1,14081.76482
Mysticeti,253,4,13011.97495
Mysticeti,255,3,19653.87542
Mysticeti,260,2,17801.69699
Mysticeti,261,1,6255.160267
Mysticeti,262,2,17801.69699
Mysticeti,263,4,25241.56134
Mysticeti,264,2,28163.52965
Mysticeti,265,1,14081.76482
Mysticeti,266,2,20336.92509
Mysticeti,267,1,3719.932172
Mysticeti,268,1,4522.502138
Mysticeti,269,2,14892.92535
Mysticeti,270,1,1852.17843
Mysticeti,272,1,3719.932172
Mysticeti,273,2,28163.52965
Mysticeti,275,4,35603.39399
Mysticeti,277,1,3719.932172
Mysticeti,278,1,14081.76482
Mysticeti,279,1,3719.932172
Mysticeti,280,1,3719.932172
Mysticeti,281,1,14081.76482
Mysticeti,284,1,3719.932172
Mysticeti,285,1,3719.932172
Mysticeti,286,1,14081.76482
Mysticeti,287,1,14081.76482
Mysticeti,288,2,7439.864344
Mysticeti,292,2,28163.52965
Mysticeti,293,1,3719.932172
Mysticeti,295,1,14081.76482
Mysticeti,296,3,42245.29447
Mysticeti,297,1,3719.932172
Mysticeti,299,1,3719.932172
Mysticeti,300,1,3719.932172
Mysticeti,302,1,3719.932172
Mysticeti,303,2,7439.864344
Mysticeti,306,1,3719.932172
Mysticeti,307,1,3719.932172
Mysticeti,308,4,11970.95704
Mysticeti,309,1,3719.932172
Mysticeti,310,1,3719.932172
Mysticeti,314,2,12510.32053
Mysticeti,315,1,14081.76482
Mysticeti,316,2,28163.52965
Mysticeti,317,1,3719.932172
Mysticeti,322,1,6255.160267
Mysticeti,323,2,7439.864344
Mysticeti,324,1,3719.932172
Mysticeti,325,1,6255.160267
Mysticeti,329,2,7439.864344
Mysticeti,330,1,14081.76482
Mysticeti,331,1,811.1605266
Mysticeti,334,2,17801.69699
Mysticeti,336,2,7439.864344
Mysticeti,341,1,14081.76482
Mysticeti,347,1,14081.76482
Mysticeti,351,1,3719.932172
Odontoceti,1,4,163.29
Odontoceti,2,7,275.7090585
Odontoceti,3,6,225.3795292
Odontoceti,4,7,237.32
Odontoceti,5,8,319.82
Odontoceti,6,13,346.63
Odontoceti,7,10,311.35
Odontoceti,8,8,287.83
